"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PT,Physical Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,2400
DPT,Doctor of Physical Therapy,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1685
PTA,Physical Therapist Assistant,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,733
DDS,Doctor of Dental Surgery,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),641
DMD,Doctor of Medicine in Dentistry,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),419
ATC,Athletic Trainer Certified,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,315
PT,Physical Therapist,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,245
PHD,Doctor of Philosophy,2084P0800X,PSYCHIATRY PHYSICIAN,243
DPT,Doctor of Physical Therapy,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,197
ATC,Athletic Trainer Certified,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,142
AA,Associate of Arts,207L00000X,ANESTHESIOLOGY PHYSICIAN,141
LAT,Licensed Athletic Trainer,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,141
OD,Doctor of Optometry,207W00000X,OPHTHALMOLOGY PHYSICIAN,127
RDMS,Registered Diagnostic Medical Sonographer,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,123
OTR,Occupational Therapist Registered,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,117
LCSW,Licensed Clinical Social Worker,2084P0800X,PSYCHIATRY PHYSICIAN,109
ATC,Athletic Trainer Certified,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,96
LMFT,Licensed Marriage and Family Therapist,2084P0800X,PSYCHIATRY PHYSICIAN,95
PHD,Doctor of Philosophy,207SG0203X,CLINICAL MOLECULAR GENETICS PHYSICIAN,93
PHD,Doctor of Philosophy,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,92
PsyD,Doctor of Psychology,2084P0800X,PSYCHIATRY PHYSICIAN,92
OT,Occupational Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,88
PharmD,Doctor of Pharmacy,208U00000X,CLINICAL PHARMACOLOGY PHYSICIAN,87
PHD,Doctor of Philosophy,207SC0300X,CLINICAL CYTOGENETICS PHYSICIAN,85
CAA,Certified Audiologist Assistant,207L00000X,ANESTHESIOLOGY PHYSICIAN,81
OTR/L,Occupational Therapist Registered/Licensed,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,80
PTA,Physical Therapist Assistant,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,79
CSFA,Certified School Food Administrator,208600000X,SURGERY PHYSICIAN,75
DPM,Doctor of Podiatric Medicine,207XX0004X,ORTHOPAEDIC FOOT AND ANKLE SURGERY PHYSICIAN,74
ND,Doctor of Naturopathic Medicine,207Q00000X,FAMILY MEDICINE PHYSICIAN,74
PT,Physical Therapist,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,67
RPT,Registered Physical Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,67
LAT,Licensed Athletic Trainer,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,66
MFT,Marriage and Family Therapist,2084P0800X,PSYCHIATRY PHYSICIAN,60
ATC,Athletic Trainer Certified,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,59
DPT,Doctor of Physical Therapy,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,53
PHD,Doctor of Philosophy,2084N0400X,NEUROLOGY PHYSICIAN,53
LCSW,Licensed Clinical Social Worker,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,52
ND,Doctor of Naturopathic Medicine,208D00000X,GENERAL PRACTICE PHYSICIAN,48
RT,Respiratory Therapist,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,48
CSW,Clinical Social Worker,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,47
DVM,Doctor of Veterinary Medicine,208D00000X,GENERAL PRACTICE PHYSICIAN,47
PharmD,Doctor of Pharmacy,208D00000X,GENERAL PRACTICE PHYSICIAN,46
DDS,Doctor of Dental Surgery,208D00000X,GENERAL PRACTICE PHYSICIAN,45
COTA,Certified Occupational Therapy Assistant,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,42
LPTA,Licensed Physical Therapist Assistant,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,41
LMT,Licensed Massage Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,40
ATC,Athletic Trainer Certified,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,39
LAT,Licensed Athletic Trainer,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,39
PHD,Doctor of Philosophy,2085R0205X,RADIOLOGICAL PHYSICS PHYSICIAN,39
PT,Physical Therapist,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,39
DPM,Doctor of Podiatric Medicine,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,37
LCSW,Licensed Clinical Social Worker,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,36
PsyD,Doctor of Psychology,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,36
RDCS,Registered Diagnostic Cardiac Sonographer,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,34
AA,Associate of Arts,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,30
DC,Doctor of Chiropractic,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,30
PHD,Doctor of Philosophy,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,30
PTA,Physical Therapist Assistant,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,30
EMT,Emergency Medical Technician,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,29
LPC,Licensed Professional Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,29
OT,Occupational Therapist,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,26
SLP,Speech-Language Pathologist,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,26
CSW,Clinical Social Worker,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,25
CSW,Clinical Social Worker,2084P0800X,PSYCHIATRY PHYSICIAN,24
ATC,Athletic Trainer Certified,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,23
AuD,Doctor of Audiology,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,23
CST,Certified Surgical Technologist,208600000X,SURGERY PHYSICIAN,23
OTR,Occupational Therapist Registered,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,23
PHD,Doctor of Philosophy,208000000X,PEDIATRICS PHYSICIAN,23
NMD,Doctor of Naturopathic Medicine,207Q00000X,FAMILY MEDICINE PHYSICIAN,22
OTR,Occupational Therapist Registered,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,22
PHD,Doctor of Philosophy,207R00000X,INTERNAL MEDICINE PHYSICIAN,22
PHD,Doctor of Philosophy,207ZP0105X,CLINICAL PATHOLOGY/LABORATORY MEDICINE PHYSICIAN,22
PHD,Doctor of Philosophy,2084B0040X,BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY PHYSICIAN,22
PHD,Doctor of Philosophy,2084N0600X,CLINICAL NEUROPHYSIOLOGY PHYSICIAN,22
PT,Physical Therapist,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,22
COTA/L,Certified Occupational Therapy Assistant Licensed,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,21
DDS,Doctor of Dental Surgery,207L00000X,ANESTHESIOLOGY PHYSICIAN,21
DPT,Doctor of Physical Therapy,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,20
MHC,Mental Health Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,20
PT,Physical Therapist,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,20
COTA,Certified Occupational Therapy Assistant,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,19
DMD,Doctor of Medicine in Dentistry,207L00000X,ANESTHESIOLOGY PHYSICIAN,19
NMD,Doctor of Naturopathic Medicine,208D00000X,GENERAL PRACTICE PHYSICIAN,19
AT,Athletic Trainer,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,18
LPC,Licensed Professional Counselor,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,18
LPT,Licensed Physical Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,17
ND,Doctor of Naturopathic Medicine,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,17
PHD,Doctor of Philosophy,207SG0205X,PH.D. MEDICAL GENETICS PHYSICIAN,17
ATC,Athletic Trainer Certified,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,16
LMT,Licensed Massage Therapist,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,16
PHD,Doctor of Philosophy,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,16
CNIM,Certified Neurophysiologic Intraoperative Monitoring,2084N0600X,CLINICAL NEUROPHYSIOLOGY PHYSICIAN,15
DVM,Doctor of Veterinary Medicine,207P00000X,EMERGENCY MEDICINE PHYSICIAN,15
LAT,Licensed Athletic Trainer,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,15
MHC,Mental Health Counselor,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,15
PHD,Doctor of Philosophy,207Q00000X,FAMILY MEDICINE PHYSICIAN,15
RPH,Registered Pharmacist,208U00000X,CLINICAL PHARMACOLOGY PHYSICIAN,15
ATC,Athletic Trainer Certified,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,14
LCSW,Licensed Clinical Social Worker,207Q00000X,FAMILY MEDICINE PHYSICIAN,14
OTR,Occupational Therapist Registered,208000000X,PEDIATRICS PHYSICIAN,14
OTR/L,Occupational Therapist Registered/Licensed,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,14
PT,Physical Therapist,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,14
BS,Bachelor of Science,207R00000X,INTERNAL MEDICINE PHYSICIAN,13
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,13
DPM,Doctor of Podiatric Medicine,208600000X,SURGERY PHYSICIAN,13
LMT,Licensed Massage Therapist,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,13
PHD,Doctor of Philosophy,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),13
PT,Physical Therapist,207Q00000X,FAMILY MEDICINE PHYSICIAN,13
PT,Physical Therapist,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,13
ATC,Athletic Trainer Certified,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,12
DMD,Doctor of Medicine in Dentistry,208D00000X,GENERAL PRACTICE PHYSICIAN,12
DVM,Doctor of Veterinary Medicine,207R00000X,INTERNAL MEDICINE PHYSICIAN,12
OTR/L,Occupational Therapist Registered/Licensed,208000000X,PEDIATRICS PHYSICIAN,12
PT,Physical Therapist,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,12
RD,Registered Dietitian,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",12
DDS,Doctor of Dental Surgery,208600000X,SURGERY PHYSICIAN,11
LAT,Licensed Athletic Trainer,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,11
LMT,Licensed Massage Therapist,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,11
ND,Doctor of Naturopathic Medicine,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,11
RD,Registered Dietitian,207Q00000X,FAMILY MEDICINE PHYSICIAN,11
ATC,Athletic Trainer Certified,2080S0010X,PEDIATRIC SPORTS MEDICINE PHYSICIAN,10
BDS,Bachelor of Dental Surgery,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),10
DC,Doctor of Chiropractic,208D00000X,GENERAL PRACTICE PHYSICIAN,10
DDS,Doctor of Dental Surgery,207Q00000X,FAMILY MEDICINE PHYSICIAN,10
LAC,Licensed Acupuncturist,2084P0800X,PSYCHIATRY PHYSICIAN,10
LAT,Licensed Athletic Trainer,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,10
LCSW,Licensed Clinical Social Worker,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,10
OTD,Doctor of Occupational Therapy,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,10
OTR/L,Occupational Therapist Registered/Licensed,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,10
PHD,Doctor of Philosophy,207SG0202X,CLINICAL BIOCHEMICAL GENETICS PHYSICIAN,10
PHD,Doctor of Philosophy,207ZM0300X,MEDICAL MICROBIOLOGY PHYSICIAN,10
PharmD,Doctor of Pharmacy,207Q00000X,FAMILY MEDICINE PHYSICIAN,10
RT,Respiratory Therapist,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,10
SLP,Speech-Language Pathologist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,10
BS,Bachelor of Science,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,9
CAA,Certified Audiologist Assistant,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,9
CPC,Certified Professional Coder,2084P0800X,PSYCHIATRY PHYSICIAN,9
DMD,Doctor of Medicine in Dentistry,207Q00000X,FAMILY MEDICINE PHYSICIAN,9
LAT,Licensed Athletic Trainer,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,9
LCPC,Licensed Clinical Professional Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,9
PTA,Physical Therapist Assistant,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,9
PsyD,Doctor of Psychology,2084B0040X,BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY PHYSICIAN,9
AA,Associate of Arts,207LC0200X,CRITICAL CARE MEDICINE (ANESTHESIOLOGY) PHYSICIAN,8
BS,Bachelor of Science,207L00000X,ANESTHESIOLOGY PHYSICIAN,8
COTA,Certified Occupational Therapy Assistant,208000000X,PEDIATRICS PHYSICIAN,8
DC,Doctor of Chiropractic,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,8
DC,Doctor of Chiropractic,207Q00000X,FAMILY MEDICINE PHYSICIAN,8
DC,Doctor of Chiropractic,207R00000X,INTERNAL MEDICINE PHYSICIAN,8
DPT,Doctor of Physical Therapy,208000000X,PEDIATRICS PHYSICIAN,8
LMT,Licensed Massage Therapist,208D00000X,GENERAL PRACTICE PHYSICIAN,8
LPCC,Licensed Professional Clinical Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,8
OTR,Occupational Therapist Registered,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,8
OTRL,Occupational Therapist Registered Licensed,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,8
PHD,Doctor of Philosophy,207ZP0007X,MOLECULAR GENETIC PATHOLOGY (PATHOLOGY) PHYSICIAN,8
PTA,Physical Therapist Assistant,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,8
PharmD,Doctor of Pharmacy,207R00000X,INTERNAL MEDICINE PHYSICIAN,8
RBT,Registered Behavior Technician,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,8
STUDENT,Student,207R00000X,INTERNAL MEDICINE PHYSICIAN,8
AT,Athletic Trainer,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,7
BCPS,Board Certified Pharmacotherapy Specialist,208D00000X,GENERAL PRACTICE PHYSICIAN,7
BS,Bachelor of Science,207Q00000X,FAMILY MEDICINE PHYSICIAN,7
BS,Bachelor of Science,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,7
BS,Bachelor of Science,208600000X,SURGERY PHYSICIAN,7
DDS,Doctor of Dental Surgery,207ZP0101X,ANATOMIC PATHOLOGY PHYSICIAN,7
DPM,Doctor of Podiatric Medicine,207Q00000X,FAMILY MEDICINE PHYSICIAN,7
DPM,Doctor of Podiatric Medicine,207R00000X,INTERNAL MEDICINE PHYSICIAN,7
DPT,Doctor of Physical Therapy,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,7
LAC,Licensed Acupuncturist,208D00000X,GENERAL PRACTICE PHYSICIAN,7
LAT,Licensed Athletic Trainer,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,7
LICSW,Licensed Independent Clinical Social Worker,2084P0800X,PSYCHIATRY PHYSICIAN,7
LMHC,Licensed Mental Health Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,7
LMT,Licensed Massage Therapist,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,7
LMT,Licensed Massage Therapist,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,7
LP,Licensed Psychologist,2084P0800X,PSYCHIATRY PHYSICIAN,7
OD,Doctor of Optometry,207Q00000X,FAMILY MEDICINE PHYSICIAN,7
OT,Occupational Therapist,207R00000X,INTERNAL MEDICINE PHYSICIAN,7
OT,Occupational Therapist,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,7
OTRL,Occupational Therapist Registered Licensed,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,7
PHD,Doctor of Philosophy,2084P2900X,PAIN MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,7
PHD,Doctor of Philosophy,2084S0012X,SLEEP MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,7
PHD,Doctor of Philosophy,2085R0001X,RADIATION ONCOLOGY PHYSICIAN,7
PHD,Doctor of Philosophy,208D00000X,GENERAL PRACTICE PHYSICIAN,7
PT,Physical Therapist,208000000X,PEDIATRICS PHYSICIAN,7
PsyD,Doctor of Psychology,2084N0600X,CLINICAL NEUROPHYSIOLOGY PHYSICIAN,7
RD,Registered Dietitian,207R00000X,INTERNAL MEDICINE PHYSICIAN,7
RPH,Registered Pharmacist,208D00000X,GENERAL PRACTICE PHYSICIAN,7
RT,Respiratory Therapist,2085B0100X,BODY IMAGING PHYSICIAN,7
SA-C,Substance Abuse Counselor Certified,208600000X,SURGERY PHYSICIAN,7
SLP,Speech-Language Pathologist,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,7
STUDENT,Student,207Q00000X,FAMILY MEDICINE PHYSICIAN,7
ATC,Athletic Trainer Certified,207Q00000X,FAMILY MEDICINE PHYSICIAN,6
AuD,Doctor of Audiology,2085B0100X,BODY IMAGING PHYSICIAN,6
BA,Bachelor of Arts,2084P0800X,PSYCHIATRY PHYSICIAN,6
BS,Bachelor of Science,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,6
BS,Bachelor of Science,208000000X,PEDIATRICS PHYSICIAN,6
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,208000000X,PEDIATRICS PHYSICIAN,6
CST,Certified Surgical Technologist,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,6
DDS,Doctor of Dental Surgery,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,6
DDS,Doctor of Dental Surgery,208000000X,PEDIATRICS PHYSICIAN,6
DMD,Doctor of Medicine in Dentistry,208600000X,SURGERY PHYSICIAN,6
DVM,Doctor of Veterinary Medicine,207Q00000X,FAMILY MEDICINE PHYSICIAN,6
DVM,Doctor of Veterinary Medicine,208600000X,SURGERY PHYSICIAN,6
LADC,Licensed Alcohol and Drug Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,6
LAT,Licensed Athletic Trainer,2080S0010X,PEDIATRIC SPORTS MEDICINE PHYSICIAN,6
LPTA,Licensed Physical Therapist Assistant,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,6
LSW,Licensed Social Worker,2084P0800X,PSYCHIATRY PHYSICIAN,6
OD,Doctor of Optometry,207R00000X,INTERNAL MEDICINE PHYSICIAN,6
PC,Pharmacist Clinician,208000000X,PEDIATRICS PHYSICIAN,6
PHD,Doctor of Philosophy,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,6
PHD,Doctor of Philosophy,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,6
PT,Physical Therapist,207R00000X,INTERNAL MEDICINE PHYSICIAN,6
PsyD,Doctor of Psychology,208000000X,PEDIATRICS PHYSICIAN,6
PsyD,Doctor of Psychology,2084N0400X,NEUROLOGY PHYSICIAN,6
RDMS,Registered Diagnostic Medical Sonographer,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,6
ATC,Athletic Trainer Certified,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,5
BA,Bachelor of Arts,207Q00000X,FAMILY MEDICINE PHYSICIAN,5
BCBA,Board Certified Behavior Analyst,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,5
BS,Bachelor of Science,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,5
BS,Bachelor of Science,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,5
CA,Certified Acupuncturist,207Q00000X,FAMILY MEDICINE PHYSICIAN,5
CMA,Certified Medical Assistant,202K00000X,PHLEBOLOGY PHYSICIAN,5
CMA,Certified Medical Assistant,207Q00000X,FAMILY MEDICINE PHYSICIAN,5
COTA/L,Certified Occupational Therapy Assistant Licensed,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,5
CSFA,Certified School Food Administrator,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,5
DC,Doctor of Chiropractic,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,5
DDS,Doctor of Dental Surgery,207ZP0105X,CLINICAL PATHOLOGY/LABORATORY MEDICINE PHYSICIAN,5
DMD,Doctor of Medicine in Dentistry,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,5
DPM,Doctor of Podiatric Medicine,208D00000X,GENERAL PRACTICE PHYSICIAN,5
DVM,Doctor of Veterinary Medicine,207W00000X,OPHTHALMOLOGY PHYSICIAN,5
LCSW,Licensed Clinical Social Worker,207R00000X,INTERNAL MEDICINE PHYSICIAN,5
LCSW,Licensed Clinical Social Worker,208000000X,PEDIATRICS PHYSICIAN,5
LMT,Licensed Massage Therapist,204D00000X,NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,5
ND,Doctor of Naturopathic Medicine,207QA0505X,ADULT MEDICINE PHYSICIAN,5
PHD,Doctor of Philosophy,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,5
PHD,Doctor of Philosophy,207ZP0104X,CHEMICAL PATHOLOGY PHYSICIAN,5
PHD,Doctor of Philosophy,2084P0805X,GERIATRIC PSYCHIATRY PHYSICIAN,5
RPT,Registered Physical Therapist,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,5
AT,Athletic Trainer,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,4
BS,Bachelor of Science,2084P0800X,PSYCHIATRY PHYSICIAN,4
CAA,Certified Audiologist Assistant,207LC0200X,CRITICAL CARE MEDICINE (ANESTHESIOLOGY) PHYSICIAN,4
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,4
CGC,Certified Genetic Counselor,207SG0203X,CLINICAL MOLECULAR GENETICS PHYSICIAN,4
CMT,Certified Massage Therapist,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,4
CMT,Certified Massage Therapist,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,4
COTA/L,Certified Occupational Therapy Assistant Licensed,208000000X,PEDIATRICS PHYSICIAN,4
CPHT,Certified Pharmacy Technician,208U00000X,CLINICAL PHARMACOLOGY PHYSICIAN,4
CSW,Clinical Social Worker,207Q00000X,FAMILY MEDICINE PHYSICIAN,4
DC,Doctor of Chiropractic,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,4
DDS,Doctor of Dental Surgery,207QS1201X,SLEEP MEDICINE (FAMILY MEDICINE) PHYSICIAN,4
DDS,Doctor of Dental Surgery,207R00000X,INTERNAL MEDICINE PHYSICIAN,4
DDS,Doctor of Dental Surgery,2082S0099X,PLASTIC SURGERY WITHIN THE HEAD AND NECK (PLASTIC SURGERY) PHYSICIAN,4
DPT,Doctor of Physical Therapy,207Q00000X,FAMILY MEDICINE PHYSICIAN,4
DPT,Doctor of Physical Therapy,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,4
EMT,Emergency Medical Technician,207P00000X,EMERGENCY MEDICINE PHYSICIAN,4
IBCLC,International Board Certified Lactation Consultant,208000000X,PEDIATRICS PHYSICIAN,4
LCAS,Licensed Clinical Addiction Specialist,2084P0800X,PSYCHIATRY PHYSICIAN,4
LISW,Licensed Independent Social Worker,2084P0800X,PSYCHIATRY PHYSICIAN,4
LMT,Licensed Massage Therapist,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,4
LMT,Licensed Massage Therapist,208VP0000X,PAIN MEDICINE PHYSICIAN,4
LPC,Licensed Professional Counselor,208000000X,PEDIATRICS PHYSICIAN,4
LPC,Licensed Professional Counselor,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,4
ND,Doctor of Naturopathic Medicine,207R00000X,INTERNAL MEDICINE PHYSICIAN,4
NMD,Doctor of Naturopathic Medicine,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,4
OD,Doctor of Optometry,207WX0009X,GLAUCOMA SPECIALIST (OPHTHALMOLOGY) PHYSICIAN,4
OT,Occupational Therapist,208000000X,PEDIATRICS PHYSICIAN,4
OT,Occupational Therapist,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,4
